adduser	3.118ubuntu5
adwaita-icon-theme	41.0-1ubuntu1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.6.3-1ubuntu1.12
alsa-utils	1.2.6-1ubuntu1
amd64-microcode	3.20191218.1ubuntu2.3
apache2-utils	2.4.52-1ubuntu4.19
apparmor	3.0.4-2ubuntu2.5
apport	2.20.11-0ubuntu82.10
apport-symptoms	0.24
apt	2.4.14
apt-transport-https	2.4.14
apt-utils	2.4.14
at-spi2-core	2.44.0-3
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bash-completion	1:2.11-5ubuntu1
bc	1.07.1-3build1
bcache-tools	1.0.8-4ubuntu3
bind9-dnsutils	1:9.18.39-0ubuntu0.22.04.2
bind9-host	1:9.18.39-0ubuntu0.22.04.2
bind9-libs:amd64	1:9.18.39-0ubuntu0.22.04.2
binutils	2.38-4ubuntu2.12
binutils-common:amd64	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bolt	0.9.2-1
bridge-utils	1.7-1ubuntu3
bsdextrautils	2.37.2-4ubuntu3.5
bsdutils	1:2.37.2-4ubuntu3.5
btrfs-progs	5.16.2-1
build-essential	12.9ubuntu3
busybox-initramfs	1:1.30.1-7ubuntu3.1
busybox-static	1:1.30.1-7ubuntu3.1
byobu	5.133-1
bzip2	1.0.8-5build1
ca-certificates	20240203~22.04.1
caddy	2.11.2
cloud-guest-utils	0.32-22-g45fe84a5-0ubuntu1
cloud-init	25.3-0ubuntu1~22.04.1
cloud-initramfs-copymods	0.47ubuntu1
cloud-initramfs-dyn-netconf	0.47ubuntu1
command-not-found	22.04.0
console-setup	1.205ubuntu3
console-setup-linux	1.205ubuntu3
containerd	1.7.28-0ubuntu1~22.04.1
coreutils	8.32-4.1ubuntu1.2
cpio	2.13+dfsg-7ubuntu0.1
cpp-11	11.4.0-1ubuntu1~22.04.3
cpp-12	12.3.0-1ubuntu1~22.04.3
cpp	4:11.2.0-1ubuntu1
cron	3.0pl1-137ubuntu3
cryptsetup	2:2.4.3-1ubuntu1.3
cryptsetup-bin	2:2.4.3-1ubuntu1.3
cryptsetup-initramfs	2:2.4.3-1ubuntu1.3
curl	7.81.0-1ubuntu1.23
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
dbus-user-session	1.12.20-2ubuntu4.1
dconf-gsettings-backend:amd64	0.40.0-3ubuntu0.1
dconf-service	0.40.0-3ubuntu0.1
dctrl-tools	2.24-3build2
debconf	1.5.79ubuntu1
debconf-i18n	1.5.79ubuntu1
debian-archive-keyring	2021.1.1ubuntu2
debian-keyring	2021.12.24
debianutils	5.5-1ubuntu2
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
distro-info	1.1ubuntu0.2
distro-info-data	0.52ubuntu0.11
dkms	2.8.7-2ubuntu2.2
dmeventd	2:1.02.175-2.1ubuntu5
dmidecode	3.3-3ubuntu0.2
dmsetup	2:1.02.175-2.1ubuntu5
dnsmasq-base	2.90-0ubuntu0.22.04.1
dns-root-data	2024071801~ubuntu0.22.04.1
docker-compose	1.29.2-1
docker.io	28.2.2-0ubuntu1~22.04.1
dosfstools	4.2-1build3
dpkg	1.21.1ubuntu2.6
dpkg-dev	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
eatmydata	130-2build1
ed	1.18-1
efibootmgr	17-1ubuntu2
eject	2.37.2-4ubuntu3.5
espeak-ng	1.50+dfsg-10ubuntu0.1
espeak-ng-data:amd64	1.50+dfsg-10ubuntu0.1
ethtool	1:5.16-1ubuntu0.2
fakeroot	1.28-1ubuntu1
fdisk	2.37.2-4ubuntu3.5
file	1:5.41-3ubuntu0.1
finalrd	9build1
findutils	4.8.0-1ubuntu3
firmware-sof-signed	2.0-1ubuntu4.7
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
fonts-ubuntu-console	0.83-6ubuntu1
friendly-recovery	0.2.42
ftp	20210827-4build1
fuse3	3.10.5-1build1
fwupd	1.7.9-1~22.04.3
fwupd-signed	1.51.1~22.04.1+1.4-0ubuntu0.1
g++-11	11.4.0-1ubuntu1~22.04.3
g++	4:11.2.0-1ubuntu1
gawk	1:5.1.0-1ubuntu0.1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04.3
gcc-12	12.3.0-1ubuntu1~22.04.3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gcc	4:11.2.0-1ubuntu1
gdb	12.1-0ubuntu1~22.04.2
gdisk	1.0.8-4build1
gettext-base	0.21-4ubuntu4
gir1.2-glib-2.0:amd64	1.72.0-1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu3
git	1:2.34.1-1ubuntu1.17
git-man	1:2.34.1-1ubuntu1.17
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
grep	3.7-1build1
groff-base	1.22.4-8build1
grub2-common	2.06-2ubuntu7.2
grub-common	2.06-2ubuntu7.2
grub-efi-amd64	2.06-2ubuntu14.8
grub-efi-amd64-bin	2.06-2ubuntu14.8
grub-efi-amd64-signed	1.187.12+2.06-2ubuntu14.8
gsettings-desktop-schemas	42.0-1ubuntu1
gtk-update-icon-cache	3.24.33-1ubuntu2.2
gzip	1.10-4ubuntu4.1
hdparm	9.60+ds-1build3
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
htop	3.0.5-7build2
humanity-icon-theme	0.6.16
info	6.8-4build1
init	1.62
initramfs-tools	0.140ubuntu13.5
initramfs-tools-bin	0.140ubuntu13.5
initramfs-tools-core	0.140ubuntu13.5
init-system-helpers	1.62
install-info	6.8-4build1
intel-microcode	3.20260210.0ubuntu0.22.04.1
iproute2	5.15.0-1ubuntu2
iptables	1.8.7-1ubuntu5.2
iputils-ping	3:20211215-1ubuntu0.1
iputils-tracepath	3:20211215-1ubuntu0.1
irqbalance	1.8.0-1ubuntu0.2
isc-dhcp-client	4.4.1-2.3ubuntu2.4
isc-dhcp-common	4.4.1-2.3ubuntu2.4
iso-codes	4.9.0-1
iucode-tool	2.3.1-1build1
javascript-common	11+nmu1
jq	1.6-2.1ubuntu3.1
kbd	2.3.0-3ubuntu4.22.04
keyboard-configuration	1.205ubuntu3
keyutils	1.6.1-2ubuntu3
klibc-utils	2.0.10-4ubuntu0.2
kmod	29-1ubuntu1
kpartx	0.8.8-1ubuntu1.22.04.4
landscape-common	23.02-0ubuntu1~22.04.7
less	590-1ubuntu0.22.04.3
libacl1:amd64	2.3.1-1
libaio1:amd64	0.3.112-13build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-6build3
libalgorithm-merge-perl	0.08-3
libapparmor1:amd64	3.0.4-2ubuntu2.5
libappstream4:amd64	0.15.2-2
libapr1:amd64	1.7.0-8ubuntu0.22.04.2
libaprutil1:amd64	1.6.1-5ubuntu4.22.04.2
libapt-pkg6.0:amd64	2.4.14
libarchive13:amd64	3.6.0-1ubuntu1.5
libargon2-1:amd64	0~20171227-0.3
libasan6:amd64	11.4.0-1ubuntu1~22.04.3
libasan8:amd64	12.3.0-1ubuntu1~22.04.3
libasound2:amd64	1.2.6.1-1ubuntu1.1
libasound2-data	1.2.6.1-1ubuntu1.1
libasound2-dev:amd64	1.2.6.1-1ubuntu1.1
libasound2-plugins:amd64	1.2.6-1
libassuan0:amd64	2.5.5-1build1
libasyncns0:amd64	0.8-6build2
libatasmart4:amd64	0.19-5build2
libatk1.0-0:amd64	2.36.0-3build1
libatk1.0-data	2.36.0-3build1
libatk-bridge2.0-0:amd64	2.38.0-3
libatm1:amd64	1:2.5.1-4build2
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3
libatopology2:amd64	1.2.6.1-1ubuntu1.1
libatspi2.0-0:amd64	2.44.0-3
libattr1:amd64	1:2.5.1-1build1
libaudit1:amd64	1:3.0.7-1build1
libaudit-common	1:3.0.7-1build1
libavahi-client3:amd64	0.8-5ubuntu5.4
libavahi-common3:amd64	0.8-5ubuntu5.4
libavahi-common-data:amd64	0.8-5ubuntu5.4
libbabeltrace1:amd64	1.5.8-2build1
libbinutils:amd64	2.38-4ubuntu2.12
libblkid1:amd64	2.37.2-4ubuntu3.5
libblockdev2:amd64	2.26-1ubuntu0.1
libblockdev-crypto2:amd64	2.26-1ubuntu0.1
libblockdev-fs2:amd64	2.26-1ubuntu0.1
libblockdev-loop2:amd64	2.26-1ubuntu0.1
libblockdev-part2:amd64	2.26-1ubuntu0.1
libblockdev-part-err2:amd64	2.26-1ubuntu0.1
libblockdev-swap2:amd64	2.26-1ubuntu0.1
libblockdev-utils2:amd64	2.26-1ubuntu0.1
libbluetooth3:amd64	5.64-0ubuntu1.4
libboost-regex1.74.0:amd64	1.74.0-14ubuntu3
libbpf0:amd64	1:0.5.0-1ubuntu22.04.1
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5build1
libc6:amd64	2.35-0ubuntu3.13
libc6-dbg:amd64	2.35-0ubuntu3.13
libc6-dev:amd64	2.35-0ubuntu3.13
libcairo2:amd64	1.16.0-5ubuntu2
libcairo-gobject2:amd64	1.16.0-5ubuntu2
libcap2:amd64	1:2.44-1ubuntu0.22.04.2
libcap2-bin	1:2.44-1ubuntu0.22.04.2
libcap-ng0:amd64	0.7.9-2.2build3
libc-bin	2.35-0ubuntu3.13
libcbor0.8:amd64	0.8.0-2ubuntu1
libcc1-0:amd64	12.3.0-1ubuntu1~22.04.3
libc-dev-bin	2.35-0ubuntu3.13
libc-devtools	2.35-0ubuntu3.13
libcolord2:amd64	1.4.6-1
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt1:amd64	1:4.4.27-1
libcrypt-dev:amd64	1:4.4.27-1
libcryptsetup12:amd64	2:2.4.3-1ubuntu1.3
libctf0:amd64	2.38-4ubuntu2.12
libctf-nobfd0:amd64	2.38-4ubuntu2.12
libcups2:amd64	2.4.1op1-1ubuntu4.16
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.23
libcurl4:amd64	7.81.0-1ubuntu1.23
libdatrie1:amd64	0.2.13-2
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdbus-glib-1-2:amd64	0.112-2build1
libdconf1:amd64	0.40.0-3ubuntu0.1
libdebconfclient0:amd64	0.261ubuntu1
libdebuginfod1:amd64	0.186-1ubuntu0.1
libdebuginfod-common	0.186-1ubuntu0.1
libdeflate0:amd64	1.10-2
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu5
libdevmapper-event1.02.1:amd64	2:1.02.175-2.1ubuntu5
libdns-export1110	1:9.11.19+dfsg-2.1ubuntu3
libdpkg-perl	1.21.1ubuntu2.6
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1
libdw1:amd64	0.186-1ubuntu0.1
libeatmydata1:amd64	130-2build1
libedit2:amd64	3.1-20210910-1build1
libefiboot1:amd64	37-6ubuntu2
libefivar1:amd64	37-6ubuntu2
libegl1:amd64	1.4.0-1
libegl-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.3
libelf1:amd64	0.186-1ubuntu0.1
libepoxy0:amd64	1.5.10-1
liberror-perl	0.17029-1
libespeak-ng1:amd64	1.50+dfsg-10ubuntu0.1
libestr0:amd64	0.1.10-2.1build3
libevdev2:amd64	1.12.1+dfsg-1
libevent-core-2.1-7:amd64	2.1.12-stable-1build3
libexpat1:amd64	2.4.7-1ubuntu0.7
libexpat1-dev:amd64	2.4.7-1ubuntu0.7
libext2fs2:amd64	1.46.5-2ubuntu1.2
libfakeroot:amd64	1.28-1ubuntu1
libfastjson4:amd64	0.99.9-1build2
libfdisk1:amd64	2.37.2-4ubuntu3.5
libffi8:amd64	3.4.2-4
libfftw3-single3:amd64	3.3.8-2ubuntu8
libfido2-1:amd64	1.10.0-1
libfile-fcntllock-perl	0.22-3build7
libflac8:amd64	1.3.3-2ubuntu0.2
libflashrom1:amd64	1.2-5build1
libfontconfig1:amd64	2.13.1-4.2ubuntu5
libfontenc1:amd64	1:1.1.4-1build3
libfreetype6:amd64	2.11.1+dfsg-1ubuntu0.3
libfribidi0:amd64	1.0.8-2ubuntu3.1
libftdi1-2:amd64	1.5-5build3
libfuse3-3:amd64	3.10.5-1build1
libfwupd2:amd64	1.7.9-1~22.04.3
libfwupdplugin5:amd64	1.7.9-1~22.04.3
libgbm1:amd64	23.2.1-1ubuntu3.1~22.04.3
libgcab-1.0-0:amd64	1.4-3build2
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgcc-12-dev:amd64	12.3.0-1ubuntu1~22.04.3
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3
libgd3:amd64	2.3.0-2ubuntu2.3
libgdbm6:amd64	1.23-1
libgdbm-compat4:amd64	1.23-1
libgdk-pixbuf-2.0-0:amd64	2.42.8+dfsg-1ubuntu0.4
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.4
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.4
libgirepository-1.0-1:amd64	1.72.0-1
libgl1-amber-dri:amd64	21.3.9-0ubuntu1~22.04.1
libgl1:amd64	1.4.0-1
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.3
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.3
libgles2:amd64	1.4.0-1
libglib2.0-0:amd64	2.72.4-0ubuntu2.9
libglib2.0-bin	2.72.4-0ubuntu2.9
libglib2.0-data	2.72.4-0ubuntu2.9
libglvnd0:amd64	1.4.0-1
libglx0:amd64	1.4.0-1
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.3
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.8
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0:amd64	1.43-3
libgpgme11:amd64	1.16.0-1.2ubuntu4.2
libgpm2:amd64	1.20.7-10build1
libgraphite2-3:amd64	1.3.14-1build2
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.7
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1.1
libgtk-3-0:amd64	3.24.33-1ubuntu2.2
libgtk-3-bin	3.24.33-1ubuntu2.2
libgtk-3-common	3.24.33-1ubuntu2.2
libgudev-1.0-0:amd64	1:237-2build1
libgusb2:amd64	0.3.10-1
libharfbuzz0b:amd64	2.7.4-1ubuntu3.2
libhogweed6:amd64	3.7.3-1build2
libice6:amd64	2:1.0.10-1build2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libimobiledevice6:amd64	1.3.0-6build3
libinih1:amd64	53-1ubuntu3
libintl-perl	1.26-3build2
libintl-xs-perl	1.26-3build2
libip4tc2:amd64	1.8.7-1ubuntu5.2
libip6tc2:amd64	1.8.7-1ubuntu5.2
libipt2	2.0.5-1
libisc-export1105:amd64	1:9.11.19+dfsg-2.1ubuntu3
libisl23:amd64	0.24-2build1
libisns0:amd64	0.101-0ubuntu2
libitm1:amd64	12.3.0-1ubuntu1~22.04.3
libjack0:amd64	1:0.125.0-3build2
libjack-dev	1:0.125.0-3build2
libjansson4:amd64	2.13.1-1.1build3
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1
