hostname,ip,category,switch_port,reachable,os,kernel,cpu,ram,board,gpu,ollama,models,failed_services
dns-core,192.168.60.10,INFRASTRUCTURE,22,True,Ubuntu 22.04.5 LTS,5.15.0-176-generic,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,6.7Gi,,,inactive,,0
sentinel-core,192.168.1.3,HOUSE,,False,,,,,,,,,
spot-core,192.168.60.30,INFRASTRUCTURE,24,True,Ubuntu 24.04.4 LTS,6.8.0-110-generic,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,31Gi,,,inactive,,0
spot-ui-01,192.168.10.12,ENGINEERING,7,True,Ubuntu 24.04.4 LTS,6.17.0-22-generic,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,30Gi,Dell Inc. 0H1TR9,,inactive,,2
spot-worker-01,192.168.10.10,ENGINEERING,5,True,Ubuntu 22.04.5 LTS,5.15.0-176-generic,AMD EPYC 4245P 6-Core Processor,30Gi,,"0, NVIDIA GeForce RTX 3060, 12288, 1, 12043, 535.288.01, 42, 37.94, 170.00, 4, 16, 94.06.25.00.80",active,qwen2.5-coder:7b 4.7 GB | qwen2.5:14b 9.0 GB | llama3.1:8b 4.9 GB | mistral:7b 4.4 GB,1
spot-worker-02,192.168.10.11,ENGINEERING,4,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,15Gi,,"0, NVIDIA TITAN Xp, 12288, 3831, 8351, 580.142, 31, 17.29, 250.00, 1, 16, 86.02.3D.00.01 | 1, Quadro M4000, 8192, 5, 8110, 580.142, 33, 10.51, 120.00, 1, 4, 84.04.88.00.06",active,mistral:7b 4.4 GB | phi3.5:latest 2.2 GB | bge-m3:latest 1.2 GB | nomic-embed-text:latest 274 MB,0
spot-worker-03,192.168.10.13,ENGINEERING,6,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,AMD Ryzen 7 2700X Eight-Core Processor,31Gi,,"0, NVIDIA GeForce GTX 1070, 8192, 3, 8105, 580.126.09, 36, 33.75, 151.00, 2, 4, 86.04.50.40.1F | 1, NVIDIA GeForce RTX 3060, 12288, 1, 11907, 580.126.09, 38, 20.81, 170.00, 3, 16, 94.06.2F.40.80",active,codellama:7b 3.8 GB | deepseek-coder:6.7b 3.8 GB | qwen2.5:14b 9.0 GB | qwen2.5-coder:7b 4.7 GB,0
spot-worker-04,192.168.10.14,ENGINEERING,8,True,Ubuntu 24.04.4 LTS,6.8.0-111-generic,13th Gen Intel(R) Core(TM) i7-13700KF,62Gi,,"0, Quadro P6000, 24576, 14801, 9637, 580.126.09, 26, 8.90, 250.00, 1, 16, 86.02.1D.00.01",active,qwen2.5:14b 9.0 GB,0
spot-worker-05,192.168.10.15,ENGINEERING,,False,,,,,,,,,
starfleet-core,192.168.60.20,INFRASTRUCTURE,21,True,Ubuntu 24.04.4 LTS,6.8.0-110-generic,Intel(R) Core(TM) i5-7500T CPU @ 2.70GHz,7.6Gi,,,inactive,,0
starfleet-tower,192.168.30.5,SECTION 31,13,True,Ubuntu 22.04.5 LTS,5.15.0-176-generic,Intel(R) Core(TM) i5-3427U CPU @ 1.80GHz,7.6Gi,,,inactive,,0
