Category,VLAN/Network,IP Address,Hostname,Switch Port,Description,GPU0,GPU1
CORE,192.168.1.x,192.168.1.1,OPNsense,1,Router / Firewall / Gateway / VPN,,
INFRASTRUCTURE,192.168.60.x,192.168.60.10,dns-core,22,Primary DNS / AdGuard,,
INFRASTRUCTURE,192.168.60.x,192.168.60.20,starfleet-core,21,NPM + UniFi + Secondary DNS + NTP,,
INFRASTRUCTURE,192.168.60.x,192.168.60.30,spot-core,24,Primary orchestrator,,
ENGINEERING,192.168.10.x,192.168.10.10,spot-worker-01,5,Worker node,w01-gpu0-rtx3060 (12g),
ENGINEERING,192.168.10.x,192.168.10.11,spot-worker-02,4,Worker node,w02-gpu0-m4000 (8g),w02-gpu1-gtx1060 (6g)
ENGINEERING,192.168.10.x,192.168.10.12,spot-ui-01,7,Interface / dashboard,,
ENGINEERING,192.168.10.x,192.168.10.13,spot-worker-03,6,Worker node,w03-gpu0-gtx1070 (8g),w03-gpu1-rtx3060 (12g)
ENGINEERING,192.168.10.x,192.168.10.14,spot-worker-04,8,Worker node,w04-gpu0-p6000 (24g),
ENGINEERING,192.168.10.x,192.168.10.15,spot-worker-05,,Visual / render node,w05-gpu0-titan-xp (12g),
ENGINEERING,192.168.10.x,192.168.10.16,spot-worker-06,,Utility prime candidate,pending,
ENGINEERING,192.168.10.x,192.168.10.17,spot-worker-07,,Heavy secondary candidate,w07-gpu0-p6000 (24g),
SECTION 31,192.168.30.x,192.168.30.5,starfleet-tower,13,Homarr / Portainer / Uptime Kuma / Glances / Netdata,,
UNIMATRIX,192.168.50.x,192.168.50.10,unimatrix6,,NAS / Storage,,
HOUSE,192.168.1.x,192.168.1.131,UniFi Switch,,Network switch,,
HOUSE,192.168.1.x,192.168.1.2,sentinel iDRAC,,Server management,,
HOUSE,192.168.1.x,192.168.1.3,sentinel-core,,Proxmox host,,
COMMAND,192.168.99.x,192.168.99.150,Ogre PC,,Primary workstation,,
VPN,10.6.0.x,10.6.0.1,WireGuard,,VPN endpoint,,
DNS,,192.168.60.10,Primary DNS,,,,
DNS,,192.168.60.20,Secondary DNS,,,,
NTP,,192.168.60.20,Primary NTP,,,,
NTP,,192.168.60.10,Backup NTP,,,,
REVERSE PROXY,,192.168.60.20:8443,unifi.starfleet.local,,,,
REVERSE PROXY,,192.168.60.10:80,adguard1.starfleet.local,,,,
REVERSE PROXY,,192.168.60.20:80,adguard2.starfleet.local,,,,
REVERSE PROXY,,192.168.30.5:7575,dashboard.starfleet.local,,,,
HOLODECK,192.168.20.x,,,Reserved / future use,,,
DEEP SPACE 9,192.168.40.x,,,Cameras & smart devices,,,
